supplier_id,tier,country,country_risk_level,region,production_capacity_units_month,capacity_utilization_pct,gmp_status,fda_approved,cold_chain_capable,avg_lead_time_days,lead_time_volatility_days,historical_delay_frequency_pct,batch_cycle_time_days,batch_failure_rate_pct,financial_health_score,upstream_dependency_known,dependency_pct,is_sole_source,num_approved_alternates,contract_duration_months,geographic_concentration_pct,news_sentiment_score,port_congestion_risk,weather_risk_score,geopolitical_tension_score,active_disruption_signal,cold_chain_route_mismatch,compliance_violation_flag,composite_risk_score,risk_classification
SUP-0011,2,China,0.65,Asia,111950,0.68,True,True,False,32,5.2,0.17,30,0.07,0.61,True,0.95,True,0,18,0.88,-0.23,0.37,0.73,0.68,False,False,False,51.05,high
SUP-0012,3,Australia,0.09,Pacific,27409,0.41,False,False,True,35,3.9,0.19,6,0.05,0.92,True,0.45,False,2,24,0.13,0.43,0.12,0.46,0.25,False,False,True,20.6,low
SUP-0013,2,France,0.14,Europe,129487,0.61,True,True,False,39,1.5,0.09,13,0.02,0.88,True,0.71,True,0,18,0.65,0.74,0.15,0.15,0.17,False,False,False,17.1,low
SUP-0014,1,Switzerland,0.17,Europe,340427,1.0,False,False,True,27,6.0,0.31,24,0.07,0.29,False,0.13,False,2,24,0.54,-0.57,0.24,0.44,0.23,True,False,False,51.5,high
SUP-0015,1,UK,0.14,Europe,111149,0.44,False,False,True,8,0.8,0.05,16,0.02,0.85,False,0.27,False,4,12,0.53,-0.32,0.27,0.37,0.11,True,False,False,31.4,moderate
SUP-0016,1,India,0.47,Asia,445342,0.83,False,False,False,29,11.5,0.48,17,0.21,0.28,True,0.85,True,0,36,0.66,0.4,0.61,0.58,0.24,False,False,False,53.7,high
SUP-0017,2,Singapore,0.21,Asia,84805,0.75,True,True,True,44,2.9,0.18,15,0.02,0.61,False,0.27,True,0,12,0.35,0.52,0.73,0.19,0.64,False,False,False,50.7,high
SUP-0018,1,USA,0.19,Americas,391175,0.46,True,True,False,10,1.9,0.15,10,0.02,0.39,True,0.91,True,0,12,0.25,-0.44,0.39,0.36,0.26,True,True,False,51.35,high
SUP-0019,2,Netherlands,0.33,Europe,122151,0.85,False,False,False,58,5.0,0.37,7,0.05,0.31,False,0.65,False,5,6,0.69,-0.24,0.22,0.71,0.42,False,True,True,76.0,critical
SUP-0020,2,USA,0.4,Americas,110818,0.81,True,True,True,56,3.4,0.29,19,0.03,0.27,False,0.87,True,0,36,0.49,-0.88,0.42,0.8,0.32,True,False,False,75.95,critical
SUP-0021,2,Switzerland,0.1,Europe,105598,0.85,True,True,False,55,4.1,0.18,4,0.08,0.75,True,0.77,False,4,18,0.42,0.31,0.21,0.17,0.23,False,False,False,11.35,low
SUP-0022,1,USA,0.09,Americas,377880,0.78,True,True,True,22,3.0,0.13,28,0.05,0.95,False,0.66,False,1,12,0.48,0.4,0.37,0.51,0.15,False,False,False,25.8,moderate
SUP-0023,1,China,0.6,Asia,138598,0.64,False,False,False,26,3.8,0.33,26,0.15,0.47,True,0.42,False,1,36,0.8,-0.33,0.69,0.75,0.72,True,False,True,54.55,high
SUP-0024,1,China,0.68,Asia,120977,0.92,True,True,True,9,5.9,0.31,4,0.07,0.45,True,0.75,False,1,6,0.54,0.31,0.54,0.8,0.61,False,False,False,37.65,moderate
SUP-0025,1,Switzerland,0.08,Europe,221193,0.46,True,True,False,21,3.1,0.11,29,0.03,0.53,True,0.21,False,1,6,0.13,-0.23,0.34,0.29,0.09,False,False,False,18.3,low
SUP-0026,1,India,0.55,Asia,443746,0.85,True,True,True,9,8.6,0.5,24,0.18,0.39,True,0.8,True,0,6,0.73,0.58,0.53,0.43,0.66,False,False,False,51.75,high
SUP-0027,3,Canada,0.15,Americas,44430,0.46,False,False,False,56,2.2,0.06,13,0.01,0.53,False,0.44,True,0,36,0.79,0.08,0.48,0.45,0.39,False,False,False,51.15,high
SUP-0028,2,Mexico,0.46,Americas,49580,0.55,True,True,True,52,6.3,0.47,11,0.11,0.56,True,0.17,True,0,12,0.36,-0.68,0.1,0.26,0.31,True,False,False,53.5,high
SUP-0029,3,Singapore,0.16,Asia,45065,0.5,False,False,True,43,1.7,0.09,20,0.03,0.6,True,0.51,False,1,36,0.22,-0.02,0.49,0.27,0.25,False,False,True,29.1,moderate
SUP-0030,3,Canada,0.11,Americas,43426,0.69,False,False,False,39,5.0,0.17,10,0.05,1.0,True,0.79,False,2,36,0.84,0.39,0.05,0.32,0.19,False,False,False,7.0,low
SUP-0031,3,Japan,0.15,Asia,17576,0.46,True,True,True,63,1.3,0.1,26,0.02,0.63,True,0.53,False,3,36,0.43,0.42,0.35,0.63,0.32,False,False,False,13.5,low
SUP-0032,2,USA,0.11,Americas,117114,0.89,True,True,False,27,2.1,0.15,18,0.09,0.34,False,0.68,False,2,3,0.67,0.77,0.12,0.72,0.17,False,False,False,31.5,moderate
SUP-0033,1,India,0.46,Asia,213639,0.4,True,True,False,30,9.6,0.47,10,0.13,0.87,True,0.68,True,0,24,0.78,0.55,0.81,0.25,0.31,False,True,False,51.7,high
SUP-0034,1,China,0.8200000000000001,Asia,162700,0.86,True,True,False,7,16.400000000000002,0.6900000000000001,28,0.28,0.78,True,0.44,True,0,36,0.56,-0.92,0.53,0.61,0.89,True,False,False,76.05,critical
SUP-0035,1,Germany,0.13,Europe,451585,0.41,True,True,True,17,3.4,0.14,25,0.06,0.2,True,0.46,False,4,6,0.51,-0.06,0.27,0.21,0.2,False,False,False,23.1,low
SUP-0036,3,China,0.62,Asia,43355,0.67,True,True,True,72,2.0,0.14,11,0.04,0.43,True,0.23,False,5,3,0.88,-0.55,0.43,0.27,0.57,True,False,False,36.6,moderate
SUP-0037,2,Brazil,0.52,Americas,82357,0.74,False,False,False,27,3.6,0.15,27,0.04,0.84,True,0.65,False,2,12,0.99,0.31,0.19,0.49,0.14,False,False,True,30.6,moderate
SUP-0038,2,Singapore,0.14,Asia,91092,0.74,True,True,False,41,0.2,0.01,28,0.0,0.74,True,0.27,True,0,18,0.62,0.01,0.69,0.44,0.47,False,False,False,29.9,moderate
SUP-0039,2,India,0.42,Asia,93240,0.86,False,False,False,39,9.8,0.43,7,0.21,0.3,True,0.92,False,5,36,0.7,0.56,0.63,0.61,0.34,False,False,False,34.7,moderate
SUP-0040,2,UAE,0.47,Middle East,114851,0.92,False,False,True,27,2.8,0.15,10,0.02,0.24,True,0.34,False,5,6,0.25,-0.8,0.36,0.23,0.66,True,False,True,51.45,high
SUP-0041,1,Netherlands,0.05,Europe,422676,0.83,False,False,False,12,1.8,0.08,14,0.04,0.8,True,0.28,True,0,6,0.86,0.58,0.19,0.59,0.12,False,False,False,20.2,low
SUP-0042,3,Canada,0.1,Americas,11529,0.61,True,True,False,37,0.7,0.06,23,0.02,0.68,False,0.19,False,4,12,0.59,-0.43,0.24,0.22,0.45,True,False,False,35.2,moderate
SUP-0043,2,Ireland,0.2,Europe,59668,0.72,False,False,True,19,3.5,0.19,17,0.03,0.65,False,0.9,True,0,6,0.68,0.19,0.34,0.35,0.3,False,False,False,50.85,high
SUP-0044,2,China,0.7,Asia,113778,0.94,False,False,True,38,8.2,0.42,16,0.19,0.67,True,0.31,False,3,6,0.75,-0.82,0.61,0.76,0.79,True,False,False,50.45,high
SUP-0045,3,India,0.48,Asia,13923,0.56,True,True,False,44,6.8,0.52,20,0.27,0.21,False,0.77,False,4,24,0.65,0.69,0.47,0.17,0.38,False,False,False,51.45,high
SUP-0046,3,Italy,0.23,Europe,41576,0.95,True,True,True,89,1.8,0.08,19,0.02,0.51,True,0.16,False,3,6,0.57,-0.18,0.25,0.54,0.22,False,False,False,21.3,low
SUP-0047,3,South Korea,0.22,Asia,29439,0.95,False,False,False,61,0.8,0.07,16,0.03,0.8,False,0.43,False,5,18,0.9,0.74,0.41,0.24,0.17,False,False,True,35.9,moderate
SUP-0048,2,Mexico,0.73,Americas,124581,0.97,False,False,False,42,7.3,0.34,3,0.05,0.87,True,0.65,True,0,18,0.13,-0.32,0.45,0.57,0.62,False,True,True,75.4,critical
SUP-0049,3,Ireland,0.1,Europe,13602,0.57,True,True,True,33,0.7,0.03,13,0.01,0.21,False,0.41,False,5,18,0.15,0.34,0.38,0.39,0.2,False,False,False,34.25,moderate
SUP-0050,2,Australia,0.17,Pacific,84689,0.55,False,False,True,15,5.2,0.27,14,0.05,0.2,True,0.88,True,0,36,0.99,-0.4,0.31,0.72,0.63,False,False,False,50.7,high
SUP-0051,2,Brazil,0.58,Americas,119940,0.65,False,False,False,18,10.8,0.49,15,0.15,0.76,True,0.73,False,4,18,0.99,-0.76,0.37,0.39,0.44,True,False,True,56.0,high
SUP-0052,1,Australia,0.3,Pacific,399200,0.81,False,False,True,16,3.4,0.19,23,0.04,0.72,False,0.81,False,2,36,0.43,0.11,0.33,0.38,0.57,False,False,True,51.0,high
SUP-0053,1,India,0.4,Asia,148146,0.42,True,True,True,28,13.0,0.48,30,0.28,0.61,False,0.97,False,3,3,0.79,0.36,0.47,0.6,0.34,False,False,False,51.4,high
SUP-0054,2,Italy,0.21,Europe,120745,0.9,True,True,False,29,3.6,0.19999999999999998,12,0.06,0.6699999999999999,True,0.49,False,5,3,0.3,0.39,0.37,0.43,0.19,False,True,False,26.0,moderate
SUP-0055,1,China,0.68,Asia,460943,0.4,False,False,True,10,8.5,0.48,14,0.11,0.89,True,0.63,False,1,18,0.66,0.54,0.36,0.13,0.9,False,False,False,30.65,moderate
SUP-0056,1,India,0.49,Asia,178701,0.54,True,True,False,18,5.6,0.43,6,0.13,0.81,True,0.67,False,3,12,0.64,0.47,0.48,0.39,0.46,False,False,False,26.0,moderate
SUP-0057,1,China,0.72,Asia,258461,0.78,False,False,False,22,13.7,0.48,5,0.13,0.35,False,0.83,True,0,36,0.57,0.25,0.53,0.62,0.76,False,True,False,90.65,critical
SUP-0058,3,France,0.18,Europe,48688,0.91,True,True,False,85,3.7,0.15,10,0.05,0.37,True,0.19,False,5,12,0.59,-0.34,0.15,0.31,0.09,True,True,False,34.05,moderate
SUP-0059,2,India,0.39,Asia,51274,0.75,True,True,True,24,4.5,0.39,23,0.1,0.24,True,0.74,False,3,18,0.85,0.69,0.51,0.58,0.43,False,False,False,29.95,moderate
SUP-0060,2,China,0.79,Asia,136344,0.7,True,True,False,28,8.3,0.53,25,0.17,0.2,True,0.71,False,1,36,0.57,0.18,0.58,0.56,0.86,False,False,False,50.75,high
SUP-0061,1,USA,0.1,Americas,113836,0.56,True,True,True,24,0.9,0.08,18,0.03,0.93,True,0.21,False,5,6,0.61,-0.13,0.39,0.47,0.07,False,False,False,11.05,low
SUP-0062,2,China,0.7,Asia,134346,1.0,False,False,False,20,3.2,0.39,16,0.14,0.48,True,0.14,False,3,18,0.61,-0.02,0.53,0.63,0.74,False,True,False,50.9,high
SUP-0063,1,India,0.44,Asia,474281,0.64,False,False,False,9,8.9,0.52,4,0.18,0.59,True,0.75,False,2,3,0.58,-0.16,0.61,0.73,0.26,False,False,True,51.4,high
SUP-0064,1,India,0.54,Asia,395689,0.75,False,False,True,13,6.0,0.5,7,0.2,0.28,False,0.2,True,0,12,0.71,-0.07,0.42,0.59,0.4,False,False,False,75.35,critical
SUP-0065,1,Japan,0.12,Asia,278926,0.97,False,False,True,25,2.7,0.12,6,0.06,0.97,True,0.75,False,4,3,0.9,0.73,0.33,0.76,0.45,False,False,False,7.0,low
SUP-0066,1,Ireland,0.14,Europe,163012,0.53,True,True,False,14,3.1,0.12,30,0.05,0.69,True,0.13,False,4,6,0.1,-0.42,0.24,0.38,0.23,True,False,False,19.85,low
SUP-0067,3,Netherlands,0.14,Europe,41289,0.78,False,False,False,55,0.3,0.08,23,0.01,0.53,True,0.91,True,0,6,0.82,0.1,0.37,0.09,0.25,False,True,True,51.15,high
SUP-0068,2,USA,0.14,Americas,128184,0.97,False,False,True,60,1.7,0.15,3,0.02,0.44,True,0.87,True,0,3,0.62,-0.57,0.38,0.21,0.09,True,False,True,51.15,high
SUP-0069,2,UK,0.18,Europe,134103,0.64,False,False,False,47,3.0,0.11,22,0.03,0.71,True,0.58,False,3,3,0.6,0.35,0.31,0.51,0.08,False,True,True,34.65,moderate
SUP-0070,1,UK,0.07,Europe,311558,0.56,False,False,True,11,2.1,0.09,25,0.04,0.24,True,0.39,False,4,24,0.26,0.36,0.31,0.43,0.1,False,False,False,16.25,low
SUP-0071,3,Brazil,0.65,Americas,35892,0.96,False,False,False,37,5.8,0.46,16,0.06,0.2,True,0.34,True,0,24,0.85,-0.6,0.59,0.24,0.68,True,True,False,75.65,critical
SUP-0072,1,Ireland,0.21,Europe,494230,0.8,True,True,False,10,4.5,0.29,24,0.03,0.33,False,0.82,False,4,36,0.1,-0.65,0.27,0.21,0.32,True,False,False,50.8,high
SUP-0073,3,USA,0.06,Americas,41556,0.54,True,True,False,57,2.2,0.1,8,0.03,0.45,True,0.54,False,5,12,0.42,-0.39,0.22,0.23,0.09,True,False,False,19.15,low
SUP-0074,2,USA,0.14,Americas,125477,0.85,True,True,True,35,4.1,0.17,17,0.06,0.29,True,0.22,False,1,36,0.31,0.49,0.27,0.66,0.22,False,False,False,19.75,low
SUP-0075,1,Brazil,0.53,Americas,347370,0.78,False,False,True,28,9.3,0.44,19,0.13,0.63,False,0.22,True,0,3,0.51,0.24,0.14,0.35,0.48,False,False,True,77.05,critical
SUP-0076,1,China,0.62,Asia,303149,0.79,True,True,False,29,10.3,0.46,7,0.18,0.63,True,0.62,False,1,24,0.7,0.69,0.37,0.37,0.57,False,False,False,31.95,moderate
SUP-0077,2,Germany,0.19,Europe,139315,0.85,True,True,False,22,3.6,0.23,11,0.07,0.21,False,0.64,False,3,18,0.45,-0.76,0.27,0.14,0.3,True,False,False,51.2,high
SUP-0078,1,Italy,0.24,Europe,456409,0.62,False,False,False,7,4.1,0.23,25,0.11,0.24,False,0.63,False,5,12,0.46,0.46,0.28,0.26,0.15,False,False,True,51.7,high
SUP-0079,3,USA,0.11,Americas,49685,0.81,True,True,True,33,3.0,0.14,26,0.04,0.79,True,0.8,True,0,3,0.91,0.2,0.39,0.69,0.08,False,False,False,28.45,moderate
SUP-0080,3,India,0.55,Asia,40076,0.45,False,False,False,75,8.1,0.35,8,0.07,0.42,False,0.75,False,4,36,0.88,0.28,0.63,0.28,0.25,False,False,False,51.75,high
SUP-0081,1,South Korea,0.15,Asia,105837,0.97,True,True,True,18,5.5,0.43,14,0.08,0.49,True,0.84,False,2,6,0.4,0.42,0.59,0.71,0.42,False,False,False,26.4,moderate
SUP-0082,3,Germany,0.14,Europe,11575,0.6,False,False,True,56,1.0,0.09,7,0.04,0.46,True,0.58,False,2,18,0.87,0.27,0.17,0.27,0.23,False,False,False,13.85,low
SUP-0083,1,Brazil,0.74,Americas,356932,0.52,True,True,False,20,7.9,0.34,12,0.08,0.68,False,0.79,True,0,18,0.65,0.46,0.49,0.65,0.45,False,True,False,76.7,critical
SUP-0084,1,Germany,0.09,Europe,106328,0.63,True,True,False,18,1.6,0.1,22,0.05,0.33,True,0.36,True,0,12,0.87,0.64,0.29,0.14,0.19,False,False,False,26.35,moderate
SUP-0085,3,South Korea,0.2,Asia,46679,0.95,False,False,True,90,11.8,0.4,18,0.19,0.23,True,0.43,False,3,3,0.84,0.17,0.47,0.08,0.45,False,False,False,32.75,moderate
SUP-0086,1,USA,0.08,Americas,301944,0.5,True,True,False,16,2.3,0.17,22,0.1,0.66,True,0.33,False,1,24,0.79,-0.73,0.07,0.28,0.14,True,True,False,31.0,moderate
SUP-0087,3,Japan,0.15,Asia,50196,0.77,True,True,False,33,1.0,0.08,7,0.04,0.23,True,0.19,False,2,24,0.43,0.7,0.53,0.5,0.36,False,False,False,16.6,low
SUP-0088,1,Switzerland,0.04,Europe,397966,0.72,True,True,False,8,2.2,0.08,11,0.03,0.56,True,0.44,False,4,18,0.76,-0.27,0.29,0.18,0.06,False,True,False,25.45,moderate
SUP-0089,1,Netherlands,0.09,Europe,291519,0.92,False,False,True,13,0.9,0.08,10,0.05,0.63,True,0.53,False,4,6,0.12,0.46,0.11,0.07,0.19,False,False,True,18.65,low
SUP-0090,1,UK,0.07,Europe,179953,0.65,True,True,True,15,3.3,0.17,10,0.07,0.52,True,0.12,False,1,24,0.61,0.5,0.33,0.5,0.21,False,False,False,13.85,low
SUP-0091,2,China,0.86,Asia,41597,0.88,False,False,False,27,12.2,0.65,18,0.19,0.5,True,0.47,False,5,24,0.73,0.15,0.9,0.76,0.73,False,True,True,76.25,critical
SUP-0092,1,India,0.53,Asia,319925,1.0,False,False,False,29,9.4,0.46,30,0.13,0.2,True,0.34,False,5,18,0.73,0.33,0.47,0.41,0.58,False,True,False,50.5,high
SUP-0093,1,China,0.71,Asia,494498,0.54,False,False,False,19,7.1,0.44,24,0.16,0.38,True,0.18,False,1,6,0.75,0.69,0.57,0.56,0.9,False,False,True,51.1,high
SUP-0094,3,Germany,0.38,Europe,24662,0.72,True,True,True,67,2.6,0.28,19,0.03,0.21,False,0.79,True,0,24,0.23,-1.0,0.28,0.58,0.35,True,False,False,75.4,critical
SUP-0095,1,China,0.77,Asia,207676,0.67,False,False,False,30,6.8,0.32,13,0.13,0.75,True,0.33,False,5,36,0.64,-0.18,0.5,0.48,0.83,False,False,True,51.8,high
SUP-0096,3,USA,0.14,Americas,28924,0.45,False,False,True,50,3.0,0.13,5,0.06,0.81,False,0.36,False,5,36,0.23,0.05,0.19,0.79,0.11,False,False,False,32.7,moderate
SUP-0097,1,India,0.68,Asia,335720,0.93,False,False,True,8,9.8,0.68,30,0.28,0.2,True,0.32,True,0,18,0.62,0.34,0.55,0.8,0.54,False,False,True,77.15,critical
SUP-0098,2,USA,0.11,Americas,79466,0.48,True,True,False,35,1.5,0.06,4,0.03,0.43,True,0.22,False,5,6,0.71,-0.33,0.32,0.37,0.12,True,False,False,20.05,low
SUP-0099,1,China,0.74,Asia,267989,0.82,False,False,True,22,4.8,0.23,17,0.05,0.64,False,0.36,False,2,24,0.66,0.31,0.47,0.47,0.81,False,False,False,50.85,high
SUP-0100,1,China,0.76,Asia,174029,0.96,True,True,False,22,6.3,0.54,25,0.16,0.31,True,0.47,False,2,3,0.78,0.03,0.86,0.8,0.67,False,False,False,50.85,high
SUP-0101,2,Switzerland,0.06,Europe,123666,0.87,False,False,True,42,2.3,0.2,28,0.1,0.46,False,0.21,True,0,12,0.13,0.06,0.23,0.36,0.17,False,False,False,50.65,high
SUP-0102,3,Italy,0.19,Europe,13418,0.58,True,True,False,59,2.0,0.09,5,0.03,0.6,False,0.73,False,3,18,0.52,0.36,0.2,0.32,0.11,False,False,False,30.15,moderate
SUP-0103,3,South Korea,0.31,Asia,55211,0.75,False,False,True,55,6.1,0.31,8,0.14,0.57,False,0.62,False,5,24,0.33,-0.31,0.54,0.8,0.43,False,False,False,51.85,high
SUP-0104,3,Singapore,0.25,Asia,30988,1.0,True,True,False,43,2.7,0.14,20,0.0,0.28,False,0.92,False,1,12,0.57,-0.27,0.86,0.79,0.4,False,False,False,50.9,high
SUP-0105,1,South Korea,0.4,Asia,415361,0.88,True,True,False,20,8.2,0.34,22,0.06,0.37,False,0.5,True,0,12,0.95,-0.61,0.87,0.4,0.48,True,False,False,76.2,critical
SUP-0106,3,India,0.53,Asia,29361,0.9,True,True,True,34,16.9,0.7,24,0.22,0.2,True,0.15,False,3,12,0.59,0.3,0.6,0.8,0.31,False,False,False,50.6,high
SUP-0107,2,Australia,0.13,Pacific,43813,0.98,False,False,False,56,1.4,0.07,13,0.03,0.87,True,0.83,False,2,24,0.19,-0.42,0.23,0.15,0.16,True,False,False,13.55,low
SUP-0108,1,UK,0.11,Europe,126453,0.5,True,True,False,27,2.9,0.21,5,0.09,0.25,False,0.27,False,1,6,0.68,0.16,0.38,0.02,0.05,False,False,False,37.75,moderate
SUP-0109,3,Egypt,0.65,Africa,40452,0.45,True,True,True,67,3.5,0.25,26,0.12,0.22,False,0.67,False,3,18,0.28,0.11,0.18,0.77,0.15,False,False,False,53.85,high
SUP-0110,1,Italy,0.26,Europe,215846,0.45,True,True,True,7,5.2,0.33,21,0.09,0.31,True,0.28,True,0,36,0.57,-0.71,0.27,0.24,0.28,True,False,False,50.8,high
SUP-0111,1,USA,0.12,Americas,440284,0.48,True,True,True,7,2.0,0.1,14,0.04,0.97,True,0.91,False,1,36,0.72,0.66,0.34,0.45,0.18,False,False,False,4.1,low
SUP-0112,3,Brazil,0.53,Americas,35369,0.83,False,False,False,81,9.1,0.53,14,0.3,0.96,True,0.42,False,2,12,0.86,0.81,0.14,0.46,0.14,False,False,False,21.95,low
SUP-0113,1,Mexico,0.72,Americas,318848,0.7000000000000001,False,False,True,25,14.9,0.63,4,0.15,0.47,True,0.56,True,0,36,0.4,-1.0,0.51,0.7,0.52,True,False,False,76.05,critical
SUP-0114,1,UK,0.12,Europe,303655,0.67,False,False,True,23,0.6,0.04,9,0.02,0.97,True,0.84,False,4,24,0.88,0.55,0.18,0.18,0.13,False,False,True,12.9,low
SUP-0115,1,Netherlands,0.08,Europe,148588,0.87,False,False,True,18,2.8,0.19,12,0.04,0.97,True,0.54,False,2,12,0.97,0.68,0.21,0.5,0.06,False,False,True,16.3,low
SUP-0116,3,USA,0.1,Americas,44119,0.93,False,False,False,82,0.1,0.0,14,0.0,0.42,True,0.12,True,0,24,0.8,-0.05,0.32,0.23,0.14,False,False,False,29.7,moderate
SUP-0117,1,China,0.73,Asia,445371,0.44,True,True,True,21,11.4,0.41,26,0.17,0.53,True,0.57,False,4,18,0.86,-0.47,0.88,0.45,0.88,True,False,False,51.3,high
SUP-0118,1,China,0.74,Asia,266871,0.83,False,False,True,15,5.4,0.52,26,0.11,0.37,False,0.56,False,4,24,0.69,-0.89,0.77,0.7,0.84,True,False,False,75.8,critical
SUP-0119,3,Japan,0.09,Asia,30438,0.54,True,True,True,66,0.4,0.02,27,0.0,0.9,False,0.39,False,4,12,0.63,-0.39,0.72,0.1,0.13,True,False,False,30.55,moderate
SUP-0120,1,India,0.49,Asia,464442,0.43,False,False,False,14,5.4,0.22,5,0.06,0.35,True,0.3,True,0,6,0.59,0.69,0.4,0.26,0.16,False,False,True,50.85,high
SUP-0121,1,Brazil,0.53,Americas,279342,0.84,True,True,True,17,4.9,0.45,11,0.23,0.62,True,0.86,False,2,12,0.75,0.48,0.09,0.09,0.26,False,False,False,25.15,moderate
SUP-0122,2,Italy,0.17,Europe,48734,0.99,False,False,False,49,2.6,0.25,9,0.11,0.71,True,0.61,False,5,18,1.0,-0.13,0.16,0.19,0.23,False,False,False,18.25,low
SUP-0123,1,China,0.84,Asia,480201,0.64,False,False,True,26,12.2,0.6,22,0.22,0.23,True,0.39,False,2,12,0.56,-0.56,0.7,0.8,0.76,True,False,True,75.35,critical
SUP-0124,1,Italy,0.16,Europe,124127,0.58,False,False,False,26,0.7,0.06,14,0.03,0.9,True,1.0,True,0,12,0.44,-0.64,0.27,0.2,0.16,True,True,True,52.8,high
SUP-0125,2,South Africa,0.66,Africa,94464,0.71,False,False,False,30,12.4,0.7,8,0.18,0.28,True,0.88,False,2,3,0.17,-0.09,0.37,0.45,0.42,False,False,False,51.3,high
SUP-0126,2,Italy,0.25,Europe,149005,0.46,False,False,False,32,6.1,0.44,14,0.15,0.21,True,0.9,False,4,24,0.5,-0.66,0.21,0.19,0.38,True,False,True,51.2,high
SUP-0127,3,India,0.46,Asia,24894,0.97,True,True,False,50,7.0,0.28,14,0.13,0.99,True,0.61,True,0,18,0.56,0.31,0.49,0.31,0.38,False,False,False,36.25,moderate
SUP-0128,2,UK,0.07,Europe,48142,0.53,False,False,True,45,3.3,0.14,15,0.05,0.64,True,0.93,True,0,6,0.5,0.1,0.36,0.06,0.25,False,False,False,28.6,moderate
SUP-0129,1,India,0.5,Asia,399471,0.59,False,False,True,23,13.2,0.44,26,0.18,0.86,True,0.75,False,5,18,0.59,0.44,0.64,0.15,0.42,False,False,False,29.15,moderate
SUP-0130,1,USA,0.08,Americas,434653,0.53,False,False,False,30,1.8,0.12,15,0.06,0.38,False,0.59,False,5,3,0.39,-0.67,0.08,0.59,0.12,True,False,True,54.85,high
SUP-0131,3,Singapore,0.32,Asia,49618,0.7,False,False,False,81,5.3,0.3,29,0.07,0.67,True,0.19,True,0,3,0.15,-0.62,0.62,0.76,0.57,True,False,False,50.95,high
SUP-0132,2,Brazil,0.62,Americas,73417,1.0,True,True,False,17,7.4,0.34,10,0.11,0.43,True,0.14,False,2,18,0.96,-0.22,0.17,0.7,0.49,False,True,False,50.45,high
SUP-0133,1,Singapore,0.1,Asia,128928,0.89,True,True,False,22,2.0,0.17,23,0.08,0.71,True,0.31,False,5,24,0.33,0.27,0.57,0.13,0.28,False,True,False,22.95,low
SUP-0134,1,India,0.57,Asia,363512,0.79,False,False,True,30,11.1,0.7,13,0.23,0.2,False,0.78,False,4,3,0.62,-0.49,0.9,0.67,0.51,False,False,False,76.25,critical
SUP-0135,2,India,0.71,Asia,46487,0.51,False,False,True,15,7.7,0.3,18,0.13,0.23,False,0.54,True,0,18,0.84,0.15,0.39,0.75,0.52,False,False,False,75.4,critical
SUP-0136,2,India,0.43,Asia,125175,0.56,False,False,True,26,10.7,0.49,5,0.16,0.29,False,0.1,False,1,18,0.54,0.54,0.38,0.08,0.17,False,False,False,50.15,high
